date,prix_sp500,volume_sp500
2025-04-29 10:30:00-04:00,5540.27978515625,330865597
2025-04-29 11:30:00-04:00,5546.60986328125,253071105
2025-04-29 12:30:00-04:00,5543.97998046875,228936000
2025-04-29 13:30:00-04:00,5566.18017578125,261911000
2025-04-29 14:30:00-04:00,5563.4501953125,289050000
2025-04-29 15:30:00-04:00,5560.2998046875,429811000
2025-04-30 09:30:00-04:00,5481.06005859375,0
2025-04-30 10:30:00-04:00,5507.81982421875,355105415
2025-04-30 11:30:00-04:00,5498.72021484375,278503000
2025-04-30 12:30:00-04:00,5517.2001953125,224830000
2025-04-30 13:30:00-04:00,5521.58984375,302383000
2025-04-30 14:30:00-04:00,5515.66015625,294537000
2025-04-30 15:30:00-04:00,5560.16015625,529673000
2025-05-01 09:30:00-04:00,5639.1201171875,0
2025-05-01 10:30:00-04:00,5650.39013671875,409705839
2025-05-01 11:30:00-04:00,5620.990234375,327529000
2025-05-01 12:30:00-04:00,5630.27001953125,250305000
2025-05-01 13:30:00-04:00,5636.16015625,245763000
2025-05-01 14:30:00-04:00,5637.759765625,291834000
2025-05-01 15:30:00-04:00,5602.31005859375,482053000
2025-05-02 09:30:00-04:00,5679.93994140625,0
2025-05-02 10:30:00-04:00,5663.8798828125,342607725
2025-05-02 11:30:00-04:00,5689.7998046875,323798847
2025-05-02 12:30:00-04:00,5685.3701171875,255668000
2025-05-02 13:30:00-04:00,5694.22021484375,232704000
2025-05-02 14:30:00-04:00,5693.8798828125,304353000
2025-05-02 15:30:00-04:00,5685.72998046875,439390000
2025-05-05 09:30:00-04:00,5653.9599609375,0
2025-05-05 10:30:00-04:00,5665.5498046875,304484216
2025-05-05 11:30:00-04:00,5674.27001953125,230315480
2025-05-05 12:30:00-04:00,5669.06005859375,206295000
2025-05-05 13:30:00-04:00,5679.0,209194000
2025-05-05 14:30:00-04:00,5665.02978515625,258694000
2025-05-05 15:30:00-04:00,5651.2001953125,395036000
2025-05-06 09:30:00-04:00,5622.9501953125,0
2025-05-06 10:30:00-04:00,5633.7099609375,306143377
2025-05-06 11:30:00-04:00,5623.0498046875,260145221
2025-05-06 12:30:00-04:00,5613.56005859375,232927000
2025-05-06 13:30:00-04:00,5621.68017578125,233427000
2025-05-06 14:30:00-04:00,5624.72998046875,259508000
2025-05-06 15:30:00-04:00,5605.52001953125,412131000
2025-05-07 09:30:00-04:00,5635.5498046875,0
2025-05-07 10:30:00-04:00,5608.419921875,358132252
2025-05-07 11:30:00-04:00,5609.0,286779644
2025-05-07 12:30:00-04:00,5630.02978515625,242155000
2025-05-07 13:30:00-04:00,5596.7900390625,320622000
2025-05-07 14:30:00-04:00,5596.2998046875,365315000
2025-05-07 15:30:00-04:00,5629.75,537533000
2025-05-08 09:30:00-04:00,5661.56982421875,531177251
2025-05-08 10:30:00-04:00,5661.5,0
