Datetime,Price,Close,High,Low,Open
2025-05-12 22:17:00+00:00,3240.699951171875,3241.199951171875,3240.300048828125,3241.10009765625,0
2025-05-12 22:18:00+00:00,3240.5,3240.800048828125,3240.199951171875,3240.800048828125,15
2025-05-12 22:19:00+00:00,3239.800048828125,3240.5,3239.300048828125,3240.39990234375,36
2025-05-12 22:20:00+00:00,3241.699951171875,3241.699951171875,3239.60009765625,3239.699951171875,46
2025-05-12 22:21:00+00:00,3241.699951171875,3242.0,3241.60009765625,3241.699951171875,65
2025-05-12 22:22:00+00:00,3242.0,3242.699951171875,3241.199951171875,3241.60009765625,67
2025-05-12 22:23:00+00:00,3242.0,3242.0,3241.39990234375,3241.800048828125,18
2025-05-12 22:24:00+00:00,3241.10009765625,3241.800048828125,3240.39990234375,3241.800048828125,44
2025-05-12 22:25:00+00:00,3240.89990234375,3241.300048828125,3240.699951171875,3241.300048828125,31
2025-05-12 22:26:00+00:00,3240.39990234375,3241.0,3240.300048828125,3241.0,17
2025-05-12 22:27:00+00:00,3240.5,3240.89990234375,3240.39990234375,3240.800048828125,13
2025-05-12 22:28:00+00:00,3241.0,3241.0,3240.800048828125,3240.800048828125,4
2025-05-12 22:29:00+00:00,3241.39990234375,3241.60009765625,3241.10009765625,3241.10009765625,21
2025-05-12 22:30:00+00:00,3241.39990234375,3241.699951171875,3241.0,3241.39990234375,56
2025-05-12 22:31:00+00:00,3241.699951171875,3241.699951171875,3240.699951171875,3241.5,40
2025-05-12 22:32:00+00:00,3239.699951171875,3241.800048828125,3239.10009765625,3241.800048828125,104
2025-05-12 22:33:00+00:00,3241.10009765625,3241.300048828125,3239.39990234375,3239.60009765625,162
2025-05-12 22:34:00+00:00,3240.60009765625,3241.300048828125,3239.699951171875,3240.89990234375,110
2025-05-12 22:35:00+00:00,3240.5,3241.300048828125,3239.39990234375,3240.800048828125,176
2025-05-12 22:36:00+00:00,3240.10009765625,3240.300048828125,3239.5,3240.300048828125,23
2025-05-12 22:37:00+00:00,3240.199951171875,3240.60009765625,3239.199951171875,3239.89990234375,65
2025-05-12 22:38:00+00:00,3239.800048828125,3240.60009765625,3239.699951171875,3240.199951171875,18
2025-05-12 22:39:00+00:00,3240.300048828125,3240.39990234375,3239.300048828125,3239.89990234375,21
2025-05-12 22:40:00+00:00,3240.5,3240.5,3240.10009765625,3240.10009765625,8
2025-05-12 22:41:00+00:00,3241.10009765625,3241.300048828125,3240.39990234375,3240.39990234375,34
2025-05-12 22:42:00+00:00,3240.800048828125,3241.0,3240.10009765625,3240.800048828125,62
2025-05-12 22:43:00+00:00,3239.60009765625,3240.5,3239.10009765625,3240.5,93
2025-05-12 22:44:00+00:00,3240.0,3240.199951171875,3238.699951171875,3239.5,117
2025-05-12 22:45:00+00:00,3238.10009765625,3239.800048828125,3238.10009765625,3239.800048828125,92
2025-05-12 22:46:00+00:00,3236.89990234375,3238.5,3234.89990234375,3238.10009765625,272
2025-05-12 22:47:00+00:00,3236.199951171875,3237.5,3236.0,3236.89990234375,54
2025-05-12 22:48:00+00:00,3236.39990234375,3237.60009765625,3236.199951171875,3236.39990234375,78
2025-05-12 22:49:00+00:00,3235.699951171875,3236.89990234375,3235.60009765625,3236.39990234375,59
2025-05-12 22:50:00+00:00,3235.89990234375,3236.0,3234.300048828125,3235.5,110
2025-05-12 22:51:00+00:00,3234.89990234375,3236.10009765625,3234.699951171875,3236.0,32
2025-05-12 22:52:00+00:00,3235.0,3235.89990234375,3234.199951171875,3235.10009765625,110
2025-05-12 22:53:00+00:00,3234.10009765625,3235.10009765625,3233.300048828125,3235.10009765625,95
2025-05-12 22:54:00+00:00,3235.800048828125,3235.800048828125,3234.300048828125,3234.300048828125,47
2025-05-12 22:55:00+00:00,3237.0,3237.39990234375,3236.0,3236.0,50
2025-05-12 22:56:00+00:00,3237.199951171875,3237.300048828125,3236.60009765625,3236.89990234375,20
2025-05-12 22:57:00+00:00,3235.800048828125,3237.39990234375,3235.800048828125,3237.300048828125,42
2025-05-12 22:58:00+00:00,3237.0,3237.300048828125,3235.699951171875,3235.699951171875,42
2025-05-12 22:59:00+00:00,3237.39990234375,3238.0,3237.199951171875,3237.199951171875,37
2025-05-12 23:00:00+00:00,3238.300048828125,3239.10009765625,3237.39990234375,3237.39990234375,68
2025-05-12 23:01:00+00:00,3239.5,3239.60009765625,3238.10009765625,3238.39990234375,36
2025-05-12 23:02:00+00:00,3239.300048828125,3239.300048828125,3239.0,3239.10009765625,13
2025-05-12 23:03:00+00:00,3238.89990234375,3239.5,3238.800048828125,3239.0,25
2025-05-12 23:04:00+00:00,3238.10009765625,3239.0,3237.89990234375,3238.89990234375,61
2025-05-12 23:05:00+00:00,3237.89990234375,3238.39990234375,3237.800048828125,3237.800048828125,24
2025-05-12 23:06:00+00:00,3237.5,3238.300048828125,3237.0,3238.0,33
2025-05-12 23:07:00+00:00,3238.39990234375,3238.39990234375,3237.300048828125,3237.60009765625,35
2025-05-12 23:08:00+00:00,3240.199951171875,3240.300048828125,3238.39990234375,3238.39990234375,78
2025-05-12 23:09:00+00:00,3240.0,3241.0,3238.699951171875,3240.39990234375,161
2025-05-12 23:10:00+00:00,3238.300048828125,3240.199951171875,3238.300048828125,3240.10009765625,149
2025-05-12 23:11:00+00:00,3238.60009765625,3239.60009765625,3237.699951171875,3238.5,146
2025-05-12 23:12:00+00:00,3237.89990234375,3239.5,3237.5,3238.60009765625,93
2025-05-12 23:13:00+00:00,3238.60009765625,3238.89990234375,3237.800048828125,3237.89990234375,24
2025-05-12 23:14:00+00:00,3238.199951171875,3238.60009765625,3238.199951171875,3238.60009765625,15
2025-05-12 23:15:00+00:00,3239.10009765625,3239.10009765625,3238.10009765625,3238.10009765625,16
2025-05-12 23:16:00+00:00,3238.39990234375,3239.0,3238.300048828125,3239.0,13
2025-05-12 23:17:00+00:00,3238.699951171875,3238.699951171875,3238.699951171875,3238.699951171875,1
2025-05-12 23:18:00+00:00,3238.699951171875,3239.5,3238.60009765625,3238.60009765625,19
2025-05-12 23:19:00+00:00,3239.0,3239.199951171875,3237.699951171875,3238.5,76
2025-05-12 23:20:00+00:00,3239.300048828125,3239.39990234375,3239.199951171875,3239.300048828125,11
